date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:56	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/Participant.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index1f06.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/Participant.html)
12:51:57	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/ranking/Ranking.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexb74d.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/Ranking.html)
12:51:58	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/Results.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index65e2.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/Results.html)
12:51:59	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?overview-tree.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexcaf2.html	(from https://bead.inf.elte.hu/files/java/championship/doc/overview-tree.html)
12:52:00	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?deprecated-list.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index94a5-2.html	(from https://bead.inf.elte.hu/files/java/championship/doc/deprecated-list.html)
12:52:01	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?index-all.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexfcc0.html	(from https://bead.inf.elte.hu/files/java/championship/doc/index-all.html)
12:52:02	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?help-doc.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexb46a.html	(from https://bead.inf.elte.hu/files/java/championship/doc/help-doc.html)
12:52:03	3614/3614	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/constant-values.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/constant-values.html	(from https://bead.inf.elte.hu/files/java/championship/doc/help-doc.html)
12:52:04	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/package-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index8792.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/package-summary.html)
12:52:05	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/ranking/package-summary.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/index0f76.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-summary.html)
12:52:06	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/package-tree.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexb029.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/package-tree.html)
12:52:07	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?championships/results/ranking/package-tree.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexb1f6.html	(from https://bead.inf.elte.hu/files/java/championship/doc/championships/results/ranking/package-tree.html)
12:52:08	2992/2992	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20May%202017%2014:40:38%20GMT	https://bead.inf.elte.hu/files/java/championship/doc/index.html?constant-values.html	/home/tomfejer/websites/Java%20Assignment%20Doc/bead.inf.elte.hu/files/java/championship/doc/indexd866.html	(from https://bead.inf.elte.hu/files/java/championship/doc/constant-values.html)
